"Sorry, no locations were found.","Sorry, no locations were found."
"Google API Key","Google API Key"
"Enable Location Pages","Enable Location Pages"
"Enable Customers Reviews for Locations","Enable Customers Reviews for Locations"
"Show Store Locator's Link on Product Pages","Show Store Locator's Link on Product Pages"
"'Available in Stores' Link Text","'Available in Stores' Link Text"
"Open 'Available in Stores' Page in a New Tab","Open 'Available in Stores' Page in a New Tab"
Title,Title
"Add Store Locator Link to the Toolbar","Add Store Locator Link to the Toolbar"
"Add Store Locator Link to the Footer","Add Store Locator Link to the Footer"
"Map and Customer's Geo Location","Map and Customer's Geo Location"
"Use Browser Location","Use Browser Location"
"Use Geo IP","Use Geo IP"
"Show Nearest Location by Default","Show Nearest Location by Default"
"Map Zoom","Map Zoom"
"Enable Clustering","Enable Clustering"
"Store Locator Page","Store Locator Page"
"Main Settings","Main Settings"
"URL Key","URL Key"
"Meta Title","Meta Title"
"Meta Description","Meta Description"
"Number of Locations on a Page","Number of Locations on a Page"
"Description Length Limit","Description Length Limit"
"Address Autosuggestion Restrictions","Address Autosuggestion Restrictions"
"
                            Please use the field if you need to show only specific countries in the list of offered addresses for the 'Current Location' field on the Store locator's page.
                            Please mind that Google Service allows to choose no more than 5 countries (you can find more information <a href=""https://developers.google.com/maps/documentation/javascript/places-autocomplete#add_autocomplete"" target=""_blank"">here</a>).
                            Or leave the field blank to show all possible countries in the list of offered addresses.
                        ","
                            Please use the field if you need to show only specific countries in the list of offered addresses for the 'Current Location' field on the Store locator's page.
                            Please mind that Google Service allows to choose no more than 5 countries (you can find more information <a href=""https://developers.google.com/maps/documentation/javascript/places-autocomplete#add_autocomplete"" target=""_blank"">here</a>).
                            Or leave the field blank to show all possible countries in the list of offered addresses.
                        "
"General Visual Settings","General Visual Settings"
"Distance Units","Distance Units"
"Radius Type","Radius Type"
"Minimum Value for Radius Range","Minimum Value for Radius Range"
"Maximum Value for Radius Range","Maximum Value for Radius Range"
"If you would like to use other search radius, you may list them above, separated with comma","If you would like to use other search radius, you may list them above, separated with comma"
"Google Mark Template","Google Mark Template"
"Store List Template","Store List Template"
"Sidebar Store List Visual Configuration","Sidebar Store List Visual Configuration"
"Day Off Text","Day Off Text"
"Break Time Text","Break Time Text"
"Time Format","Time Format"
"Show Distance to the Location","Show Distance to the Location"
"Collapse Locations Filter by Default","Collapse Locations Filter by Default"
"Shipping Table Rates","Shipping Table Rates"
"Amasty Store Locator","Amasty Store Locator"
"Show Store List On Widget","Show Store List On Widget"
"Show NearBy And Radius Filter","Show NearBy And Radius Filter"
"Automatic positioning to the nearest location","Automatic positioning to the nearest location"
"Widget Description","Widget Description"
"Enable Widget Block Wrapping","Enable Widget Block Wrapping"
"Set 'No' to disable the map block wrapping with the page content","Set 'No' to disable the map block wrapping with the page content"
"Add New Attribute","Add New Attribute"
"Delete selected items?","Delete selected items?"
ID,ID
"Input Type","Input Type"
Required,Required
"Store Locator Location","Store Locator Location"
Back,Back
"Location Name","Location Name"
"Short Description","Short Description"
"
                        If set, a pop-up and a store list on the store locator's page will show the short description.
                    ","
                        If set, a pop-up and a store list on the store locator's page will show the short description.
                    "
Country,Country
State/Province,State/Province
"Valid latitudes values are from -85 to 85 degrees.","Valid latitudes values are from -85 to 85 degrees."
"Valid longitudes values are from -180 to 180 degrees.","Valid longitudes values are from -180 to 180 degrees."
"Marker Image","Marker Image"
"
                        Image will be resized to 27x43 px. Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    ","
                        Image will be resized to 27x43 px. Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    "
"Image Gallery","Image Gallery"
"Images of Location","Images of Location"
"
                        Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    ","
                        Allowed file types : jpg jpeg gif png. Gif can have only one frame
                    "
"Product Conditions","Product Conditions"
"Meta Information","Meta Information"
"Meta Robots","Meta Robots"
Canonical,Canonical
"-- Please Select --","-- Please Select --"
"Add New","Add New"
Enable,Enable
Disable,Disable
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Store Views","Store Views"
Name,Name
Approve,Approve
Decline,Decline
Id,Id
"Location Id","Location Id"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"Date Placed","Date Placed"
"Date Published","Date Published"
"Store Locator Schedule","Store Locator Schedule"
"Schedule Name","Schedule Name"
"Add New Schedule","Add New Schedule"
